Date,2014,2015,2016,2017,2018,2019,2020,2021,2022,2014_2021_Average
6/29/2014,11.2,8.37,4.73,8.9,8.46,10.85,8.02,7.44,8.06,8.49625
6/30/2014,11.2,8.52,4.73,9.09,8.46,10.85,8.02,7.86,8.06,8.59125
7/1/2014,11.2,8.55,4.74,9.59,8.46,10.85,8.03,8.25,8.66,8.70875
7/2/2014,11.3,8.58,4.74,9.73,8.49,10.85,8.03,8.25,9.02,8.74625
7/3/2014,11.38,8.61,4.74,9.75,8.49,10.87,8.12,8.32,9.02,8.785
7/4/2014,11.38,8.92,4.89,9.82,8.62,10.87,8.12,8.33,9.02,8.86875
7/5/2014,11.38,9.02,4.89,9.83,8.62,10.93,8.12,8.33,9.19,8.89
7/6/2014,11.38,10.84,4.89,9.85,8.72,11.37,8.12,8.33,9.2,9.1875
7/7/2014,11.39,10.93,4.89,10,8.72,11.48,8.12,9.1,9.2,9.32875
7/8/2014,12.15,11.09,5.35,10.01,8.72,11.53,8.12,9.27,9.2,9.53
7/9/2014,12.16,11.16,5.37,10.01,8.72,11.53,8.12,9.44,9.2,9.56375
7/10/2014,12.19,11.16,5.37,10.14,8.93,11.53,8.12,9.44,9.2,9.61
7/11/2014,12.2,11.16,5.38,10.24,8.94,11.58,8.2,10.38,9.2,9.76
7/12/2014,12.2,11.16,5.38,10.25,8.94,11.58,8.25,10.64,9.2,9.8
7/13/2014,12.84,11.16,5.38,10.25,8.94,11.58,8.26,10.88,9.22,9.91125
7/14/2014,13,11.38,5.48,11.55,8.94,11.58,8.26,10.98,9.22,10.14625
7/15/2014,13,11.67,5.64,11.55,9.36,11.58,8.26,10.98,9.22,10.255
7/16/2014,13,11.67,5.73,11.55,9.43,11.7,8.35,10.98,9.22,10.30125
7/17/2014,13,11.67,5.73,11.55,10.15,12.87,8.35,11.15,9.5,10.55875
7/18/2014,13,12.66,5.73,11.56,10.15,12.88,8.35,11.16,9.63,10.68625
7/19/2014,13.05,12.66,5.73,11.77,10.15,12.88,8.53,11.16,9.63,10.74125
7/20/2014,13.05,12.86,5.73,11.77,10.15,12.88,8.53,11.16,9.63,10.76625
7/21/2014,13.05,12.87,5.73,11.77,10.77,13.07,8.59,11.23,9.63,10.885
7/22/2014,13.05,12.87,5.73,11.82,12.07,13.42,8.81,11.23,9.63,11.125
7/23/2014,13.17,12.87,5.73,12.02,14.13,13.42,8.81,11.23,9.63,11.4225
7/24/2014,13.17,12.87,5.81,12.13,14.94,13.51,8.86,11.23,9.63,11.565
7/25/2014,13.17,12.87,5.94,12.13,15.49,13.51,8.86,11.23,10.15,11.65
7/26/2014,13.2,12.89,5.94,12.13,15.5,13.51,8.86,11.23,10.15,11.6575
7/27/2014,13.65,12.89,5.94,12.13,15.62,13.51,8.86,11.23,10.19,11.72875
7/28/2014,14.11,12.89,6,14.8,15.62,13.51,8.92,11.27,10.23,12.14
7/29/2014,14.13,12.89,6.01,15.63,15.62,13.51,8.92,11.68,10.23,12.29875
7/30/2014,14.31,13.19,8.02,15.63,17.32,13.6,8.92,11.68,10.23,12.83375
7/31/2014,14.35,13.19,8.02,15.63,17.35,13.62,9.18,11.68,10.32,12.8775
8/1/2014,14.53,13.19,8.21,15.63,17.44,13.62,9.47,11.9,10.33,12.99875
8/2/2014,14.55,13.19,8.21,16.06,17.53,14.14,9.47,11.9,10.33,13.13125
8/3/2014,14.57,13.19,8.21,16.07,20.89,14.15,9.47,11.9,10.33,13.55625
8/4/2014,15.09,13.2,8.21,16.42,20.89,14.15,9.53,11.9,10.9,13.67375
8/5/2014,15.1,13.2,8.21,16.43,20.89,14.15,9.53,11.9,10.9,13.67625
